season,team_id,domestic_position,league_team_count,is_league_champion,is_cup_winner,european_entry_type,competition,entry_round,history_position_t_minus_5,history_team_count_t_minus_5,history_position_t_minus_4,history_team_count_t_minus_4,history_position_t_minus_3,history_team_count_t_minus_3,history_position_t_minus_2,history_team_count_t_minus_2,history_position_t_minus_1,history_team_count_t_minus_1
2026/27,AO-UEFA-60609,2.0,12.0,False,False,N2,UEL,EL-Q1,2.0,8.0,1.0,8.0,1.0,10.0,1.0,10.0,1.0,10.0
2026/27,AO-UEFA-2609356,1.0,12.0,True,True,CH,UCL,CL-Q1,5.0,8.0,5.0,8.0,2.0,10.0,3.0,10.0,5.0,10.0
2026/27,AO-UEFA-2607480,5.0,12.0,False,False,N5,UECL,CO-Q1,4.0,8.0,3.0,8.0,5.0,10.0,2.0,10.0,2.0,10.0
2026/27,AO-UEFA-66168,10.0,16.0,False,True,CW,UECL,CO-Q1,2.0,16.0,2.0,16.0,3.0,16.0,5.0,15.0,5.0,16.0
2026/27,AO-UEFA-50161,2.0,16.0,False,False,N2,UECL,CO-Q1,4.0,16.0,6.0,16.0,3.0,16.0,4.0,15.0,1.0,16.0
2026/27,AO-UEFA-2613945,1.0,16.0,True,False,CH,UCL,CL-Q1,13.0,16.0,12.0,16.0,7.0,16.0,,,3.0,16.0
2026/27,AO-UEFA-4608,5.0,16.0,False,False,N5,UECL,CO-Q2,7.0,18.0,5.0,18.0,5.0,18.0,7.0,16.0,6.0,16.0
2026/27,AO-UEFA-50074,4.0,16.0,False,False,N4,UEL,EL-Q2,3.0,18.0,3.0,18.0,11.0,18.0,2.0,16.0,4.0,16.0
2026/27,AO-UEFA-50043,1.0,16.0,True,False,CH,UCL,CL-LS,1.0,18.0,2.0,18.0,4.0,18.0,4.0,16.0,2.0,16.0
2026/27,AO-UEFA-52883,3.0,16.0,False,False,N3,UEL,EL-PO,15.0,18.0,9.0,18.0,12.0,18.0,9.0,16.0,14.0,16.0
2026/27,AO-UEFA-64125,2.0,16.0,False,True,N2,UCL,CL-Q3nc,,,1.0,18.0,6.0,18.0,1.0,16.0,3.0,16.0
2026/27,AO-UEFA-50104,1.0,10.0,True,False,CH,UCL,CL-Q1,1.0,12.0,3.0,12.0,2.0,12.0,1.0,12.0,2.0,12.0
2026/27,AO-UEFA-64378,3.0,10.0,False,False,N3,UECL,CO-Q1,2.0,12.0,4.0,12.0,4.0,12.0,4.0,12.0,3.0,12.0
2026/27,AO-UEFA-50163,4.0,10.0,False,False,N4,UECL,CO-Q1,3.0,12.0,5.0,12.0,6.0,12.0,3.0,12.0,7.0,12.0
2026/27,AO-UEFA-73390,2.0,10.0,False,True,CW,UECL,CO-Q2,5.0,12.0,1.0,12.0,1.0,12.0,2.0,12.0,1.0,12.0
2026/27,AO-UEFA-2610262,2.0,16.0,False,False,N2,UECL,CO-Q2,5.0,14.0,9.0,14.0,3.0,16.0,8.0,16.0,10.0,16.0
2026/27,AO-UEFA-2608297,4.0,16.0,False,True,CW,UEL,EL-Q1,3.0,14.0,2.0,14.0,2.0,16.0,2.0,16.0,7.0,16.0
2026/27,AO-UEFA-50044,1.0,16.0,True,False,CH,UCL,CL-Q1,9.0,14.0,5.0,14.0,4.0,16.0,5.0,16.0,2.0,16.0
2026/27,AO-UEFA-2603104,3.0,16.0,False,False,N3,UECL,CO-Q2,1.0,14.0,1.0,14.0,1.0,16.0,1.0,16.0,1.0,16.0
2026/27,AO-UEFA-50164,1.0,10.0,True,True,CH,UCL,CL-Q2,1.0,10.0,1.0,10.0,1.0,10.0,1.0,10.0,2.0,10.0
2026/27,AO-UEFA-52359,2.0,10.0,False,False,N2,UEL,EL-Q1,4.0,10.0,2.0,10.0,2.0,10.0,3.0,10.0,3.0,10.0
2026/27,AO-UEFA-52356,4.0,10.0,False,False,N4,UECL,CO-Q2,3.0,10.0,4.0,10.0,4.0,10.0,2.0,10.0,1.0,10.0
2026/27,AO-UEFA-60514,3.0,10.0,False,False,N3,UECL,CO-Q2,10.0,10.0,,,6.0,10.0,6.0,10.0,4.0,10.0
2026/27,AO-UEFA-54191,2.0,14.0,False,False,N2,UECL,CO-Q2,5.0,14.0,3.0,12.0,2.0,14.0,3.0,14.0,3.0,14.0
2026/27,AO-UEFA-52741,3.0,14.0,False,False,N3,UECL,CO-Q2,3.0,14.0,1.0,12.0,5.0,14.0,7.0,14.0,6.0,14.0
2026/27,AO-UEFA-50077,1.0,14.0,True,False,CH,UCL,CL-Q2,1.0,14.0,7.0,12.0,6.0,14.0,5.0,14.0,4.0,14.0
2026/27,AO-UEFA-2609532,4.0,14.0,False,True,CW,UEL,EL-Q2,7.0,14.0,6.0,12.0,4.0,14.0,4.0,14.0,1.0,14.0
2026/27,AO-UEFA-62169,5.0,16.0,False,False,N5,UECL,CO-Q2,3.0,18.0,13.0,16.0,11.0,16.0,12.0,16.0,12.0,16.0
2026/27,AO-UEFA-59878,4.0,16.0,False,False,N4,UEL,EL-Q2,,,6.0,16.0,8.0,16.0,9.0,16.0,9.0,16.0
2026/27,AO-UEFA-52498,1.0,16.0,True,False,CH,UCL,CL-LS,1.0,18.0,2.0,16.0,1.0,16.0,1.0,16.0,1.0,16.0
2026/27,AO-UEFA-50033,2.0,16.0,False,False,N2,UCL,CL-Q3nc,6.0,18.0,9.0,16.0,2.0,16.0,2.0,16.0,2.0,16.0
2026/27,AO-UEFA-64388,3.0,16.0,False,False,N3,UEL,EL-PO,5.0,18.0,2.0,16.0,3.0,16.0,3.0,16.0,2.0,16.0
2026/27,AO-UEFA-50019,1.0,12.0,True,False,CH,UCL,CL-Q2,3.0,12.0,8.0,12.0,4.0,12.0,5.0,12.0,3.0,12.0
2026/27,AO-UEFA-52709,4.0,12.0,False,False,N4,UECL,CO-Q2,4.0,12.0,1.0,12.0,2.0,12.0,3.0,12.0,2.0,12.0
2026/27,AO-UEFA-75795,2.0,12.0,False,True,CW,UEL,EL-Q2,2.0,12.0,2.0,12.0,1.0,12.0,1.0,12.0,1.0,12.0
2026/27,AO-UEFA-79940,3.0,12.0,False,False,N3,UECL,CO-Q2,6.0,12.0,10.0,12.0,4.0,12.0,4.0,12.0,5.0,12.0
2026/27,AO-UEFA-2601124,6.0,20.0,False,False,N6,UEL,EL-LS,,,,,15.0,20.0,12.0,20.0,9.0,20.0
2026/27,AO-UEFA-52280,1.0,20.0,True,False,CH,UCL,CL-LS,8.0,20.0,5.0,20.0,2.0,20.0,2.0,20.0,2.0,20.0
2026/27,AO-UEFA-52683,4.0,20.0,False,False,N4,UCL,CL-LS,11.0,20.0,14.0,20.0,7.0,20.0,4.0,20.0,6.0,20.0
2026/27,AO-UEFA-2601105,8.0,20.0,False,False,N8,UECL,CO-PO,16.0,20.0,9.0,20.0,6.0,20.0,11.0,20.0,8.0,20.0
2026/27,AO-UEFA-52916,15.0,20.0,False,False,CO-TH,UEL,EL-LS,14.0,20.0,12.0,20.0,11.0,20.0,10.0,20.0,12.0,20.0
2026/27,AO-UEFA-7889,5.0,20.0,False,False,EPS,UCL,CL-LS,3.0,20.0,2.0,20.0,5.0,20.0,3.0,20.0,1.0,20.0
2026/27,AO-UEFA-52919,2.0,20.0,False,True,N2,UCL,CL-LS,1.0,20.0,1.0,20.0,1.0,20.0,1.0,20.0,3.0,20.0
2026/27,AO-UEFA-52682,3.0,20.0,False,False,N3,UCL,CL-LS,2.0,20.0,6.0,20.0,3.0,20.0,8.0,20.0,15.0,20.0
2026/27,AO-UEFA-53360,7.0,20.0,False,False,N7,UEL,EL-LS,,,,,,,,,,
2026/27,AO-UEFA-59341,1.0,10.0,True,True,CH,UCL,CL-Q1,1.0,10.0,2.0,10.0,1.0,10.0,1.0,10.0,4.0,10.0
2026/27,AO-UEFA-2600371,3.0,10.0,False,False,N3,UECL,CO-Q1,4.0,10.0,4.0,10.0,4.0,10.0,5.0,10.0,2.0,10.0
2026/27,AO-UEFA-77482,2.0,10.0,False,False,N2,UECL,CO-Q1,3.0,10.0,1.0,10.0,2.0,10.0,2.0,10.0,1.0,10.0
2026/27,AO-UEFA-2600598,4.0,10.0,False,False,N4,UECL,CO-Q1,2.0,10.0,3.0,10.0,3.0,10.0,4.0,10.0,3.0,10.0
2026/27,AO-UEFA-59025,2.0,10.0,False,False,N2,UECL,CO-Q2,1.0,10.0,2.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0
2026/27,AO-UEFA-57475,1.0,10.0,True,True,CH,UCL,CL-Q1,,,,,,,,,,
2026/27,AO-UEFA-64150,3.0,10.0,False,False,N3,UECL,CO-Q1,2.0,10.0,4.0,10.0,9.0,10.0,,,4.0,10.0
2026/27,AO-UEFA-59325,4.0,10.0,False,False,N4,UECL,CO-Q1,5.0,10.0,3.0,10.0,2.0,10.0,2.0,10.0,1.0,10.0
2026/27,AO-UEFA-50052,3.0,12.0,False,True,CW,UECL,CO-Q2,1.0,12.0,2.0,12.0,1.0,12.0,1.0,12.0,,
2026/27,AO-UEFA-2602511,3.0,12.0,False,False,N3,UECL,CO-Q1,5.0,12.0,6.0,12.0,8.0,12.0,10.0,12.0,3.0,13.0
2026/27,AO-UEFA-64161,2.0,12.0,False,False,N2,UECL,CO-Q1,2.0,12.0,3.0,12.0,5.0,12.0,6.0,12.0,8.0,13.0
2026/27,AO-UEFA-52350,1.0,12.0,True,False,CH,UCL,CL-Q1,3.0,12.0,1.0,12.0,2.0,12.0,2.0,12.0,,
2026/27,AO-UEFA-50023,7.0,18.0,False,False,N7,UECL,CO-PO,3.0,20.0,3.0,20.0,6.0,20.0,2.0,18.0,3.0,18.0
2026/27,AO-UEFA-75797,3.0,18.0,False,False,N3,UCL,CL-LS,1.0,20.0,10.0,20.0,5.0,20.0,4.0,18.0,5.0,18.0
2026/27,AO-UEFA-5312,4.0,18.0,False,False,N4,UCL,CL-Q3nc,4.0,20.0,8.0,20.0,7.0,20.0,6.0,18.0,6.0,18.0
2026/27,AO-UEFA-52748,5.0,18.0,False,False,N5,UEL,EL-LS,5.0,20.0,2.0,20.0,3.0,20.0,8.0,18.0,2.0,18.0
2026/27,AO-UEFA-52747,1.0,18.0,True,False,CH,UCL,CL-LS,2.0,20.0,1.0,20.0,1.0,20.0,1.0,18.0,1.0,18.0
2026/27,AO-UEFA-52277,2.0,18.0,False,True,N2,UCL,CL-LS,7.0,20.0,7.0,20.0,2.0,20.0,7.0,18.0,8.0,18.0
2026/27,AO-UEFA-55031,6.0,18.0,False,False,N6,UEL,EL-LS,6.0,20.0,4.0,20.0,4.0,20.0,10.0,18.0,12.0,18.0
2026/27,AO-UEFA-64467,2.0,10.0,False,True,CW,UECL,CO-Q1,3.0,10.0,3.0,10.0,3.0,10.0,4.0,10.0,3.0,10.0
2026/27,AO-UEFA-52705,4.0,10.0,False,False,N4,UECL,CO-Q1,1.0,10.0,2.0,10.0,1.0,10.0,2.0,10.0,7.0,10.0
2026/27,AO-UEFA-2605905,1.0,10.0,True,False,CH,UCL,CL-Q1,5.0,10.0,4.0,10.0,6.0,10.0,6.0,10.0,1.0,10.0
2026/27,AO-UEFA-64471,3.0,10.0,False,False,N3,UECL,CO-Q1,8.0,10.0,8.0,10.0,5.0,10.0,3.0,10.0,2.0,10.0
2026/27,AO-UEFA-2600431,5.0,18.0,False,False,N5,UEL,EL-LS,11.0,18.0,9.0,18.0,12.0,18.0,7.0,18.0,15.0,18.0
2026/27,AO-UEFA-50109,6.0,18.0,False,False,N6,UEL,EL-LS,6.0,18.0,3.0,18.0,6.0,18.0,1.0,18.0,2.0,18.0
2026/27,AO-UEFA-50037,1.0,18.0,True,True,CH,UCL,CL-LS,1.0,18.0,1.0,18.0,1.0,18.0,3.0,18.0,2.0,18.0
2026/27,AO-UEFA-52758,2.0,18.0,False,False,N2,UCL,CL-LS,3.0,18.0,2.0,18.0,2.0,18.0,5.0,18.0,4.0,18.0
2026/27,AO-UEFA-2603790,3.0,18.0,False,False,N3,UCL,CL-LS,2.0,18.0,4.0,18.0,3.0,18.0,4.0,18.0,7.0,18.0
2026/27,AO-UEFA-59880,7.0,18.0,False,False,N7,UECL,CO-PO,10.0,18.0,6.0,18.0,5.0,18.0,10.0,18.0,5.0,18.0
2026/27,AO-UEFA-50107,4.0,18.0,False,False,N4,UCL,CL-LS,9.0,18.0,15.0,18.0,16.0,18.0,2.0,18.0,9.0,18.0
2026/27,AO-UEFA-2606416,3.0,12.0,False,False,N3,UECL,CO-Q1,1.0,12.0,2.0,11.0,1.0,11.0,8.0,11.0,3.0,11.0
2026/27,AO-UEFA-2605572,1.0,12.0,True,True,CH,UCL,CL-Q1,2.0,12.0,1.0,11.0,2.0,11.0,1.0,11.0,2.0,11.0
2026/27,AO-UEFA-2605575,2.0,12.0,False,False,N2,UECL,CO-Q1,3.0,12.0,3.0,11.0,4.0,11.0,2.0,11.0,1.0,11.0
2026/27,AO-UEFA-50129,1.0,14.0,True,False,CH,UCL,CL-PO,3.0,14.0,3.0,14.0,2.0,14.0,2.0,14.0,2.0,14.0
2026/27,AO-UEFA-52953,6.0,14.0,False,True,CW,UEL,EL-PO,13.0,14.0,7.0,14.0,9.0,14.0,10.0,14.0,6.0,14.0
2026/27,AO-UEFA-2610,2.0,14.0,False,False,N2,UCL,CL-Q3nc,1.0,14.0,1.0,14.0,3.0,14.0,3.0,14.0,1.0,14.0
2026/27,AO-UEFA-50130,3.0,14.0,False,False,N3,UEL,EL-Q2,4.0,14.0,2.0,14.0,4.0,14.0,1.0,14.0,4.0,14.0
2026/27,AO-UEFA-50084,4.0,14.0,False,False,N4,UECL,CO-Q2,5.0,14.0,5.0,14.0,1.0,14.0,4.0,14.0,3.0,14.0
2026/27,AO-UEFA-52958,4.0,12.0,False,False,N4,UECL,CO-Q2,,,7.0,12.0,3.0,12.0,5.0,12.0,9.0,12.0
2026/27,AO-UEFA-52287,1.0,12.0,True,False,CH,UCL,CL-Q1,,,,,,,,,4.0,12.0
2026/27,AO-UEFA-52298,2.0,12.0,False,True,CW,UEL,EL-Q1,1.0,12.0,1.0,12.0,1.0,12.0,1.0,12.0,1.0,12.0
2026/27,AO-UEFA-93452,3.0,12.0,False,False,N3,UECL,CO-Q2,4.0,12.0,6.0,12.0,10.0,12.0,2.0,12.0,3.0,12.0
2026/27,AO-UEFA-2610384,9.0,12.0,False,True,CW,UEL,EL-Q1,,,,,,,,,11.0,12.0
2026/27,AO-UEFA-52308,3.0,12.0,False,False,N3,UECL,CO-Q1,3.0,12.0,7.0,12.0,6.0,12.0,4.0,12.0,5.0,12.0
2026/27,AO-UEFA-50057,2.0,12.0,False,False,N2,UECL,CO-Q2,1.0,12.0,5.0,12.0,4.0,12.0,2.0,12.0,3.0,12.0
2026/27,AO-UEFA-52697,1.0,12.0,True,False,CH,UCL,CL-Q1,10.0,12.0,1.0,12.0,2.0,12.0,1.0,12.0,1.0,12.0
2026/27,AO-UEFA-52375,4.0,10.0,False,False,N4,UECL,CO-Q1,2.0,10.0,5.0,10.0,6.0,10.0,6.0,10.0,8.0,10.0
2026/27,AO-UEFA-50086,2.0,10.0,False,False,N2,UEL,EL-Q1,7.0,10.0,4.0,10.0,2.0,10.0,2.0,10.0,4.0,10.0
2026/27,AO-UEFA-52381,1.0,10.0,True,True,CH,UCL,CL-Q1,1.0,10.0,1.0,10.0,1.0,10.0,1.0,10.0,2.0,10.0
2026/27,AO-UEFA-53020,3.0,10.0,False,False,N3,UECL,CO-Q2,9.0,10.0,,,7.0,10.0,4.0,10.0,1.0,10.0
2026/27,AO-UEFA-59034,2.0,14.0,False,False,N2,UECL,CO-Q2,8.0,14.0,12.0,14.0,7.0,14.0,12.0,14.0,4.0,14.0
2026/27,AO-UEFA-59340,1.0,14.0,True,False,CH,UCL,CL-Q2,5.0,14.0,2.0,14.0,2.0,14.0,3.0,14.0,1.0,14.0
2026/27,AO-UEFA-59869,4.0,14.0,False,False,N4,UECL,CO-Q2,12.0,14.0,6.0,14.0,11.0,14.0,11.0,14.0,,
2026/27,AO-UEFA-57477,3.0,14.0,False,True,CW,UEL,EL-Q2,2.0,14.0,3.0,14.0,3.0,14.0,1.0,14.0,2.0,14.0
2026/27,AO-UEFA-50058,5.0,20.0,False,False,N5,UEL,EL-LS,1.0,20.0,1.0,20.0,9.0,20.0,6.0,20.0,4.0,20.0
2026/27,AO-UEFA-50137,3.0,20.0,False,False,N3,UCL,CL-LS,7.0,20.0,6.0,20.0,6.0,20.0,6.0,20.0,5.0,20.0
2026/27,AO-UEFA-52816,7.0,20.0,False,False,N7,UECL,CO-PO,3.0,20.0,8.0,20.0,5.0,20.0,4.0,20.0,3.0,20.0
2026/27,AO-UEFA-79946,4.0,20.0,False,False,N4,UCL,CL-LS,,,,,,,,,10.0,20.0
2026/27,AO-UEFA-50138,1.0,20.0,True,True,CH,UCL,CL-LS,1.0,20.0,2.0,20.0,3.0,20.0,1.0,20.0,2.0,20.0
2026/27,AO-UEFA-50139,6.0,20.0,False,False,N6,UEL,EL-LS,4.0,20.0,4.0,20.0,7.0,20.0,3.0,20.0,4.0,20.0
2026/27,AO-UEFA-50136,2.0,20.0,False,False,N2,UCL,CL-LS,5.0,20.0,3.0,20.0,1.0,20.0,10.0,20.0,1.0,20.0
2026/27,AO-UEFA-2600605,2.0,14.0,False,False,N2,UECL,CO-Q1,3.0,12.0,2.0,14.0,1.0,14.0,2.0,14.0,2.0,13.0
2026/27,AO-UEFA-79966,4.0,14.0,False,False,N4,UECL,CO-Q1,,,,,,,,,6.0,13.0
2026/27,AO-UEFA-79970,1.0,14.0,True,False,CH,UCL,CL-Q1,1.0,12.0,3.0,14.0,4.0,14.0,4.0,14.0,1.0,13.0
2026/27,AO-UEFA-79969,3.0,14.0,False,True,CW,UECL,CO-Q2,2.0,12.0,1.0,14.0,3.0,14.0,8.0,14.0,5.0,13.0
2026/27,AO-UEFA-2609552,3.0,10.0,False,False,N3,UECL,CO-Q1,3.0,10.0,1.0,10.0,1.0,10.0,1.0,10.0,2.0,10.0
2026/27,AO-UEFA-2608290,1.0,10.0,True,False,CH,UCL,CL-Q1,2.0,10.0,2.0,10.0,2.0,10.0,3.0,10.0,1.0,10.0
2026/27,AO-UEFA-2608311,4.0,10.0,False,True,CW,UECL,CO-Q2,,,7.0,10.0,4.0,10.0,7.0,10.0,7.0,10.0
2026/27,AO-UEFA-2611789,2.0,10.0,False,False,N2,UECL,CO-Q1,,,8.0,10.0,6.0,10.0,4.0,10.0,3.0,10.0
2026/27,AO-UEFA-79556,5.0,10.0,False,True,CW,UECL,CO-Q2,,,,,5.0,10.0,3.0,10.0,3.0,10.0
2026/27,AO-UEFA-2606320,3.0,10.0,False,False,N3,UECL,CO-Q1,5.0,10.0,3.0,9.0,4.0,10.0,5.0,10.0,6.0,10.0
2026/27,AO-UEFA-2609104,2.0,10.0,False,False,N2,UECL,CO-Q1,1.0,10.0,4.0,9.0,2.0,10.0,2.0,10.0,2.0,10.0
2026/27,AO-UEFA-2607924,1.0,10.0,True,False,CH,UCL,CL-Q1,1.0,10.0,4.0,9.0,2.0,10.0,2.0,10.0,2.0,10.0
2026/27,AO-UEFA-57482,,,False,True,CW,UECL,CO-Q2,,,,,,,,,,
2026/27,AO-UEFA-2607108,2.0,10.0,False,False,N2,UECL,CO-Q1,,,5.0,10.0,4.0,10.0,4.0,10.0,5.0,10.0
2026/27,AO-UEFA-2608927,6.0,10.0,False,True,CW,UECL,CO-Q2,5.0,6.0,4.0,10.0,3.0,10.0,3.0,10.0,1.0,10.0
2026/27,AO-UEFA-2605907,1.0,10.0,True,False,CH,UCL,CL-Q1,3.0,6.0,3.0,10.0,2.0,10.0,2.0,10.0,4.0,10.0
2026/27,AO-UEFA-2602334,3.0,10.0,False,False,N3,UECL,CO-Q1,1.0,6.0,1.0,10.0,1.0,10.0,1.0,10.0,2.0,10.0
2026/27,AO-UEFA-2605351,1.0,16.0,True,False,CH,UCL,CL-Q1,,,,,,,,,,
2026/27,AO-UEFA-52309,2.0,16.0,False,True,CW,UECL,CO-Q1,6.0,16.0,2.0,16.0,5.0,16.0,1.0,16.0,1.0,16.0
2026/27,AO-UEFA-2603092,4.0,16.0,False,False,N4,UECL,CO-Q1,10.0,16.0,6.0,16.0,9.0,16.0,6.0,16.0,2.0,16.0
2026/27,AO-UEFA-2603085,3.0,16.0,False,False,N3,UECL,CO-Q1,11.0,16.0,9.0,16.0,6.0,16.0,9.0,16.0,7.0,16.0
2026/27,AO-UEFA-50092,1.0,12.0,True,False,CH,UCL,CL-Q1,12.0,16.0,2.0,12.0,7.0,14.0,2.0,14.0,2.0,12.0
2026/27,AO-UEFA-50060,3.0,12.0,False,False,N3,UECL,CO-Q1,1.0,16.0,4.0,12.0,1.0,14.0,1.0,14.0,6.0,12.0
2026/27,AO-UEFA-79948,2.0,12.0,False,False,N2,UECL,CO-Q1,,,,,11.0,14.0,4.0,14.0,9.0,12.0
2026/27,AO-UEFA-52641,3.0,12.0,False,True,CW,UECL,CO-Q2,7.0,16.0,8.0,12.0,8.0,14.0,12.0,14.0,,
2026/27,AO-UEFA-2600714,4.0,8.0,False,False,N4,UECL,CO-Q1,3.0,10.0,3.0,8.0,5.0,9.0,3.0,8.0,5.0,8.0
2026/27,AO-UEFA-2607112,1.0,8.0,True,False,CH,UCL,CL-Q1,2.0,10.0,2.0,8.0,2.0,9.0,2.0,8.0,3.0,8.0
2026/27,AO-UEFA-69606,3.0,8.0,False,True,CW,UEL,EL-Q1,1.0,10.0,1.0,8.0,1.0,9.0,1.0,8.0,1.0,8.0
2026/27,AO-UEFA-59036,3.0,8.0,False,False,N3,UECL,CO-Q2,8.0,10.0,7.0,8.0,3.0,9.0,4.0,8.0,2.0,8.0
2026/27,AO-UEFA-2600105,4.0,10.0,False,False,N4,UECL,CO-Q1,3.0,10.0,3.0,10.0,4.0,10.0,1.0,10.0,4.0,10.0
2026/27,AO-UEFA-89562,2.0,10.0,False,True,CW,UECL,CO-Q1,,,5.0,10.0,8.0,10.0,2.0,10.0,5.0,10.0
2026/27,AO-UEFA-2600104,3.0,10.0,False,False,N3,UECL,CO-Q1,9.0,10.0,7.0,10.0,6.0,10.0,6.0,10.0,2.0,10.0
2026/27,AO-UEFA-73936,1.0,10.0,True,False,CH,UCL,CL-Q1,2.0,10.0,1.0,10.0,2.0,10.0,4.0,10.0,3.0,10.0
2026/27,AO-UEFA-52327,7.0,18.0,False,True,CW,UEL,EL-LS,3.0,18.0,5.0,18.0,4.0,18.0,4.0,18.0,5.0,18.0
2026/27,AO-UEFA-50143,5.0,18.0,False,False,N5,UECL,CO-Q2,1.0,18.0,1.0,18.0,3.0,18.0,5.0,18.0,2.0,18.0
2026/27,AO-UEFA-52818,4.0,18.0,False,False,N4,UEL,EL-Q2,10.0,18.0,4.0,18.0,5.0,18.0,3.0,18.0,6.0,18.0
2026/27,AO-UEFA-52749,2.0,18.0,False,False,N2,UCL,CL-LS,5.0,18.0,3.0,18.0,1.0,18.0,2.0,18.0,3.0,18.0
2026/27,AO-UEFA-52330,3.0,18.0,False,False,N3,UCL,CL-Q3nc,7.0,18.0,11.0,18.0,12.0,18.0,6.0,18.0,8.0,18.0
2026/27,AO-UEFA-50062,1.0,18.0,True,False,CH,UCL,CL-LS,2.0,18.0,2.0,18.0,2.0,18.0,1.0,18.0,1.0,18.0
2026/27,AO-UEFA-75807,2.0,12.0,False,False,N2,UECL,CO-Q1,1.0,12.0,3.0,12.0,3.0,11.0,2.0,12.0,1.0,12.0
2026/27,AO-UEFA-59871,4.0,12.0,False,True,CW,UECL,CO-Q1,9.0,12.0,,,4.0,11.0,5.0,12.0,2.0,12.0
2026/27,AO-UEFA-53080,1.0,12.0,True,False,CH,UCL,CL-Q1,11.0,12.0,,,,,10.0,12.0,5.0,12.0
2026/27,AO-UEFA-52377,3.0,12.0,False,True,CW,UECL,CO-Q2,2.0,12.0,6.0,12.0,6.0,12.0,6.0,12.0,6.0,12.0
2026/27,AO-UEFA-50056,3.0,12.0,False,False,N3,UECL,CO-Q1,3.0,12.0,3.0,12.0,3.0,12.0,5.0,12.0,3.0,12.0
2026/27,AO-UEFA-85009,1.0,12.0,True,False,CH,UCL,CL-Q1,4.0,12.0,5.0,12.0,1.0,12.0,1.0,12.0,2.0,12.0
2026/27,AO-UEFA-50134,4.0,12.0,False,False,N4,UECL,CO-Q1,1.0,12.0,1.0,12.0,2.0,12.0,2.0,12.0,1.0,12.0
2026/27,AO-UEFA-59333,2.0,16.0,False,False,N2,UCL,CL-Q3nc,1.0,16.0,1.0,16.0,2.0,16.0,1.0,16.0,1.0,16.0
2026/27,AO-UEFA-52314,,,False,True,CW,UEL,EL-PO,,,4.0,16.0,4.0,16.0,6.0,16.0,15.0,16.0
