season,team_id,domestic_position,league_team_count,is_league_champion,is_cup_winner,european_entry_type,competition,entry_round,domestic_position_source
2021/22,43,4.0,14,False,True,CW,UECL,EL-Q3,league_table_exact
2021/22,44,2.0,14,False,False,N2,UECL,ECL-Q2,qualification_route
2021/22,45,1.0,14,True,False,CH,UECL,CL-Q2,qualification_champion
2021/22,46,4.0,18,False,False,N4,UECL,ECL-Q2,qualification_route
2021/22,47,3.0,18,False,False,N3,UECL,EL-Q3,qualification_route
2021/22,48,1.0,18,True,True,CH,UECL,CL-Q3,qualification_champion
2021/22,49,2.0,18,False,False,N2,UECL,CL-Q2nc,qualification_route
2021/22,50,5.0,18,False,False,N5,UECL,ECL-Q2,qualification_route
2021/22,51,4.0,12,False,False,N4,UECL,ECL-Q2,qualification_route
2021/22,52,1.0,12,True,False,CH,UEL,CL-PO,qualification_champion
2021/22,53,3.0,12,False,False,N3,UECL,ECL-Q2,qualification_route
2021/22,54,2.0,12,False,False,N2,UECL,CL-Q2nc,qualification_route
2021/22,55,5.0,12,False,True,CW,UECL,EL-PO,league_table_substring
2021/22,56,4.0,20,False,False,N4,UCL,CL-GS,qualification_route
2021/22,57,5.0,20,False,True,CW,UECL,EL-GS,league_table_exact
2021/22,58,3.0,20,False,False,N3,UCL,CL-GS,qualification_route
2021/22,59,1.0,20,True,True,CH,UCL,CL-GS,qualification_champion
2021/22,60,2.0,20,False,False,N2,UCL,CL-GS,qualification_route
2021/22,61,7.0,20,False,False,N7,UECL,ECL-PO,qualification_route
2021/22,62,6.0,20,False,False,N6,UEL,EL-GS,qualification_route
2021/22,63,1.0,10,True,False,CH,UECL,CL-Q1,qualification_champion
2021/22,64,,,False,True,CW,UECL,ECL-Q1,unresolved
2021/22,65,2.0,10,False,False,N2,UECL,ECL-Q1,qualification_route
2021/22,66,1.0,10,True,False,CH,UECL,CL-PR,qualification_champion
2021/22,67,3.0,10,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,68,2.0,10,False,False,N2,UECL,ECL-Q1,qualification_route
2021/22,69,1.0,12,True,False,CH,UECL,CL-Q1,qualification_champion
2021/22,70,4.0,12,False,False,N4,UECL,ECL-Q1,qualification_route
2021/22,71,2.0,12,False,False,N2,UECL,ECL-Q1,qualification_route
2021/22,72,3.0,12,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,73,3.0,20,False,False,N3,UEL,CL-Q3nc,qualification_route
2021/22,74,1.0,20,True,False,CH,UCL,CL-GS,qualification_champion
2021/22,75,4.0,20,False,False,N4,UEL,EL-GS,qualification_route
2021/22,76,5.0,20,False,False,N5,UECL,EL-GS,qualification_route
2021/22,77,2.0,20,False,True,N2,UCL,CL-GS,qualification_route
2021/22,78,6.0,20,False,False,N6,UECL,ECL-PO,qualification_route
2021/22,79,3.0,10,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,80,2.0,10,False,False,N2,UECL,ECL-Q1,qualification_route
2021/22,81,1.0,10,True,False,CH,UECL,CL-Q1,qualification_champion
2021/22,82,,,False,True,CW,UECL,ECL-Q1,unresolved
2021/22,83,6.0,18,False,False,N6,UEL,EL-GS,qualification_route
2021/22,84,1.0,18,True,False,CH,UCL,CL-GS,qualification_champion
2021/22,85,3.0,18,False,True,N3,UEL,CL-GS,qualification_route
2021/22,86,5.0,18,False,False,N5,UEL,EL-GS,qualification_route
2021/22,87,2.0,18,False,False,N2,UEL,CL-GS,qualification_route
2021/22,88,7.0,18,False,False,N7,UECL,ECL-PO,qualification_route
2021/22,89,4.0,18,False,False,N4,UCL,CL-GS,qualification_route
2021/22,90,2.0,12,False,False,N2,UECL,ECL-Q1,qualification_route
2021/22,91,1.0,12,True,True,CH,UECL,CL-Q1,qualification_champion
2021/22,92,4.0,12,False,False,N4,UECL,ECL-Q1,qualification_route
2021/22,93,3.0,12,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,94,4.0,14,False,False,N4,UECL,ECL-Q2,qualification_route
2021/22,95,3.0,14,False,False,N3,UECL,ECL-Q2,qualification_route
2021/22,96,1.0,14,True,False,CH,UEL,CL-Q2,qualification_champion
2021/22,97,4.0,14,False,True,CW,UECL,ECL-Q3,league_table_substring
2021/22,98,3.0,12,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,99,1.0,12,True,False,CH,UEL,CL-Q1,qualification_champion
2021/22,100,2.0,12,False,False,N2,UECL,ECL-Q1,qualification_route
2021/22,101,6.0,12,False,True,CW,UECL,ECL-Q2,league_table_substring
2021/22,102,4.0,12,False,False,N4,UECL,ECL-Q1,qualification_route
2021/22,103,2.0,12,False,False,N2,UECL,ECL-Q1,qualification_route
2021/22,104,3.0,12,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,105,1.0,12,True,False,CH,UECL,CL-Q1,qualification_champion
2021/22,106,2.0,10,False,False,N2,UECL,ECL-Q1,qualification_route
2021/22,107,3.0,10,False,True,CW,UECL,ECL-Q1,league_table_exact
2021/22,108,1.0,10,True,False,CH,UECL,CL-Q1,qualification_champion
2021/22,109,3.0,10,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,110,4.0,14,False,False,N4,UECL,ECL-Q2,qualification_route
2021/22,111,3.0,14,False,False,N3,UECL,ECL-Q2,qualification_route
2021/22,112,1.0,14,True,False,CH,UECL,CL-Q1,qualification_champion
2021/22,113,2.0,14,False,True,CW,UECL,ECL-Q2,league_table_exact
2021/22,114,2.0,20,False,False,N2,UCL,CL-GS,qualification_route
2021/22,115,7.0,20,False,False,N7,UECL,ECL-PO,qualification_route
2021/22,116,3.0,20,False,False,N3,UEL,CL-GS,qualification_route
2021/22,117,1.0,20,True,False,CH,UCL,CL-GS,qualification_champion
2021/22,118,4.0,20,False,True,N4,UCL,CL-GS,qualification_route
2021/22,119,6.0,20,False,False,N6,UEL,EL-GS,qualification_route
2021/22,120,5.0,20,False,False,N5,UEL,EL-GS,qualification_route
2021/22,121,3.0,12,False,False,N3,UECL,ECL-Q2,qualification_route
2021/22,122,1.0,12,True,False,CH,UECL,CL-Q1,qualification_champion
2021/22,123,4.0,12,False,False,N4,UECL,ECL-Q2,qualification_route
2021/22,124,2.0,12,False,False,N2,UECL,ECL-Q2,qualification_route
2021/22,125,2.0,10,False,False,N2,UECL,ECL-Q1,qualification_route
2021/22,126,1.0,10,True,False,CH,UECL,CL-PR,qualification_champion
2021/22,127,5.0,10,False,True,CW,UECL,ECL-Q1,league_table_substring
2021/22,128,5.0,10,False,True,CW,UECL,ECL-Q1,league_table_substring
2021/22,129,2.0,10,False,False,N2,UECL,ECL-Q1,qualification_route
2021/22,130,1.0,10,True,False,CH,UECL,CL-Q1,qualification_champion
2021/22,131,3.0,10,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,132,,,False,True,CW,UECL,ECL-Q2,unresolved_cup_only
2021/22,133,5.0,6,False,True,CW,UECL,ECL-Q2,league_table_substring
2021/22,134,3.0,6,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,135,2.0,6,False,False,N2,UECL,ECL-Q1,qualification_route
2021/22,136,1.0,6,True,False,CH,UECL,CL-Q1,qualification_champion
2021/22,137,1.0,16,True,False,CH,UECL,CL-Q1,qualification_champion
2021/22,138,2.0,16,False,False,N2,UECL,ECL-Q2,qualification_route
2021/22,139,4.0,16,False,False,N4,UECL,ECL-Q1,qualification_route
2021/22,140,3.0,16,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,141,4.0,16,False,False,N4,UECL,ECL-Q1,qualification_route
2021/22,142,3.0,16,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,143,2.0,16,False,False,N2,UECL,CL-Q1,qualification_route
2021/22,144,6.0,16,False,False,N6,UECL,ECL-Q1,qualification_route
2021/22,145,3.0,10,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,146,2.0,10,False,False,N2,UECL,ECL-Q1,qualification_route
2021/22,147,4.0,10,False,True,CW,UECL,ECL-Q1,league_table_fuzzy
2021/22,148,1.0,10,True,False,CH,UEL,CL-Q1,qualification_champion
2021/22,149,1.0,10,True,True,CH,UECL,CL-Q1,qualification_champion
2021/22,150,3.0,10,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,151,4.0,10,False,False,N4,UECL,ECL-Q1,qualification_route
2021/22,152,2.0,10,False,False,N2,UECL,ECL-Q1,qualification_route
2021/22,153,3.0,18,False,False,N3,UECL,EL-PO,qualification_route
2021/22,154,1.0,18,True,True,CH,UCL,CL-GS,qualification_champion
2021/22,155,5.0,18,False,False,N5,UECL,ECL-Q2,qualification_route
2021/22,156,2.0,18,False,False,N2,UECL,CL-Q2nc,qualification_route
2021/22,157,4.0,18,False,False,N4,UECL,ECL-Q3,qualification_route
2021/22,158,3.0,12,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,159,2.0,12,False,False,N2,UECL,ECL-Q1,qualification_route
2021/22,160,1.0,12,True,False,CH,UECL,CL-Q1,qualification_champion
2021/22,161,9.0,12,False,True,CW,UECL,ECL-Q1,league_table_substring
2021/22,162,2.0,12,False,False,N2,UECL,ECL-Q1,qualification_route
2021/22,163,3.0,12,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,164,4.0,12,False,False,N4,UECL,ECL-Q1,qualification_route
2021/22,165,1.0,12,True,True,CH,UECL,CL-Q1,qualification_champion
2021/22,166,1.0,16,True,False,CH,UECL,CL-Q1,qualification_champion
2021/22,167,2.0,16,False,False,N2,UECL,ECL-Q2,qualification_route
2021/22,168,4.0,16,False,False,N4,UECL,ECL-Q2,qualification_route
2021/22,169,3.0,16,False,False,N3,UECL,ECL-Q2,qualification_route
2021/22,170,1.0,16,True,False,CH,UEL,CL-Q1,qualification_champion
2021/22,171,3.0,16,False,False,N3,UECL,ECL-Q2,qualification_route
2021/22,172,2.0,16,False,True,CW,UECL,ECL-Q2,league_table_exact
2021/22,173,4.0,16,False,False,N4,UECL,ECL-Q1,qualification_route
2021/22,174,3.0,18,False,False,N3,UCL,CL-Q3nc,qualification_route
2021/22,175,6.0,18,False,False,N6,UECL,ECL-Q2,qualification_route
2021/22,176,2.0,18,False,False,N2,UEL,CL-GS,qualification_route
2021/22,177,5.0,18,False,False,N5,UECL,ECL-Q3,qualification_route
2021/22,178,4.0,18,False,True,CW,UEL,EL-GS,league_table_substring
2021/22,179,1.0,18,True,False,CH,UCL,CL-GS,qualification_champion
2021/22,180,1.0,16,True,False,CH,UECL,CL-Q1,qualification_champion
2021/22,181,2.0,16,False,False,N2,UECL,ECL-Q2,qualification_route
2021/22,182,4.0,16,False,False,N4,UECL,ECL-Q2,qualification_route
2021/22,183,3.0,16,False,True,CW,UECL,ECL-Q2,league_table_exact
2021/22,184,5.0,16,False,False,N5,UECL,ECL-Q2,qualification_route
2021/22,185,3.0,16,False,True,CW,UEL,EL-GS,league_table_exact
2021/22,186,4.0,16,False,False,N4,UECL,ECL-Q3,qualification_route
2021/22,187,2.0,16,False,False,N2,UEL,CL-Q3nc,qualification_route
2021/22,188,1.0,16,True,False,CH,UEL,CL-GS,qualification_champion
2021/22,189,1.0,15,True,False,CH,UECL,CL-PR,qualification_champion
2021/22,190,1.0,15,False,True,CW,UECL,ECL-Q1,league_table_exact
2021/22,191,2.0,15,False,False,N2,UECL,ECL-Q1,qualification_route
2021/22,192,4.0,12,False,False,N4,UECL,ECL-Q2,qualification_route
2021/22,193,2.0,12,False,False,N2,UECL,CL-Q2nc,qualification_route
2021/22,194,1.0,12,True,False,CH,UEL,CL-Q3,qualification_champion
2021/22,195,3.0,12,False,False,N3,UECL,ECL-Q2,qualification_route
2021/22,196,5.0,12,False,True,CW,UECL,EL-Q3,league_table_exact
2021/22,197,3.0,20,False,False,N3,UECL,ECL-Q2,qualification_route
2021/22,198,2.0,20,False,False,N2,UECL,ECL-Q2,qualification_route
2021/22,199,1.0,20,True,True,CH,UEL,CL-Q2,qualification_champion
2021/22,200,4.0,20,False,False,N4,UECL,ECL-Q2,qualification_route
2021/22,201,2.0,13,False,False,N2,UECL,ECL-Q2,qualification_route
2021/22,202,4.0,13,False,False,N4,UECL,ECL-Q1,qualification_route
2021/22,203,1.0,13,True,True,CH,UECL,CL-Q1,qualification_champion
2021/22,204,3.0,13,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,205,1.0,10,True,False,CH,UECL,CL-Q1,qualification_champion
2021/22,206,4.0,10,False,False,N4,UECL,ECL-Q1,qualification_route
2021/22,207,2.0,10,False,False,N2,UECL,ECL-Q1,qualification_route
2021/22,208,3.0,10,False,True,CW,UECL,ECL-Q2,league_table_exact
2021/22,209,1.0,20,True,False,CH,UCL,CL-GS,qualification_champion
2021/22,210,3.0,20,False,True,N3,UEL,CL-GS,qualification_route
2021/22,211,6.0,20,False,False,N6,UEL,EL-GS,qualification_route
2021/22,212,2.0,20,False,False,N2,UCL,CL-GS,qualification_route
2021/22,213,5.0,20,False,False,N5,UEL,EL-GS,qualification_route
2021/22,214,4.0,20,False,False,N4,UEL,CL-GS,qualification_route
2021/22,215,7.0,20,False,False,EL-TH,UCL,CL-GS,league_table_exact
2021/22,216,3.0,16,False,False,N3,UECL,ECL-Q2,qualification_route
2021/22,217,8.0,16,False,True,CW,UECL,ECL-Q2,league_table_exact
2021/22,218,2.0,16,False,False,N2,UECL,ECL-Q2,qualification_route
2021/22,219,1.0,16,True,False,CH,UCL,CL-Q1,qualification_champion
2021/22,220,2.0,10,False,False,N2,UECL,ECL-Q2,qualification_route
2021/22,221,5.0,10,False,True,CW,UECL,ECL-Q3,league_table_substring
2021/22,222,3.0,10,False,False,N3,UECL,ECL-Q2,qualification_route
2021/22,223,1.0,10,True,False,CH,UCL,CL-Q2,qualification_champion
2021/22,224,1.0,21,True,True,CH,UCL,CL-GS,qualification_champion
2021/22,225,3.0,21,False,False,N3,UECL,EL-PO,qualification_route
2021/22,226,2.0,21,False,False,N2,UEL,CL-Q2nc,qualification_route
2021/22,227,5.0,21,False,False,N5,UECL,ECL-Q2,qualification_route
2021/22,228,4.0,21,False,False,N4,UECL,ECL-Q3,qualification_route
2021/22,229,1.0,14,True,True,CH,UCL,CL-GS,qualification_champion
2021/22,230,4.0,14,False,False,N4,UECL,ECL-Q3,qualification_route
2021/22,231,2.0,14,False,False,N2,UCL,CL-Q3nc,qualification_route
2021/22,232,5.0,14,False,False,N5,UECL,ECL-Q2,qualification_route
2021/22,233,3.0,14,False,False,N3,UECL,EL-PO,qualification_route
2021/22,234,3.0,12,False,False,N3,UECL,ECL-Q1,qualification_route
2021/22,235,1.0,12,True,False,CH,UECL,CL-Q1,qualification_champion
2021/22,236,4.0,12,False,False,N4,UECL,ECL-Q1,qualification_route
2021/22,237,2.0,12,False,False,N2,UECL,ECL-Q1,qualification_route
